Sequence	BIPA
_?N=\	ˀŋǂ
_ng=\	ⁿgǂ
x\[?]	ɧ
?\	ʕ
X\	ħ
S_w_j	ʃʲ
dZ_h\	dʒʱ
_ndZ	ⁿdʒ
dZ	dʒ
d:Z	dːʒ
dZ_j	dʒʲ
tS_w	tʃ
tS_w_h	tʃʰ
tS_w:	tʃː
tS_w_>	tʃʼ
tS_w_j	tʃʲ
_ntS_w	ⁿtʃ
l_-_j	l̠ʲ
l_-	l̠
r\_-	ɹ̠
Z	ʒ
Z^'	ʒ̍
Z^0	ʒ̊
S_w	ʃ
S_w_>	ʃʼ
d_-	d̠
t_-	t̠
tS_w_w[?]	tʃʷ
dZ_w[?]	dʒʷ
tS_w_>:	tʃʼː
t`s`\ˈ	ʈʂ’
d`z`	ɖʐ
t`s`:	ʈʂː
t`s`	ʈʂ
t`s`_h	ʈʂʰ
r\`	ɻ
l`	ɭ
l`^0	ɭ̊
g!\!\	gǃǃ
!\!\	ǃǃ
z`	ʐ
s`	ʂ
n`	ɳ
n`^'	ɳ̍
n`^0	ɳ̊
d`_h\	ɖʱ
d`	ɖ
t`	ʈ
t`_h	ʈʰ
r`_h\	ɽʱ
r`	ɽ
t`_h:	ʈʰː
l`_=	ɭ̩
N!\!\	ŋǃǃ
N^0!\!\	ŋ̊ǃǃ
_?N!\!\	ˀŋǃǃ
_ng!\!\	ⁿgǃǃ
G\R	ɢʁ
qX	qχ
R_o	ʁ̞
R	ʁ
R_0	ʁ̥
X	χ
X_>	χʼ
X_w[?]	χʷ
G\\_<	ʛ
G\\_<_0	ʛ̥
N\	ɴ
N\_=	ɴ̩
N\_0	ɴ̥
G\	ɢ
q	q
q_h	qʰ
q_>	qʼ
q_w[?]	qʷ
q_w[?]_h	qʷʰ
q_>_w[?]	qʼʷ
q_}	q̚
G\_h	ɢʰ
R\	ʀ
R\_0	ʀ̥
x_j	xʲ
gG	gɣ
kx	kx
kL\/_>	kʼ
kL\/	k
M\	ɰ
L\	ʟ
